,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011,0.0,3.0,133.0,136.0
1,1,Europe,2012,3.0,17.0,185.0,205.0
2,2,Europe,2013,1.0,8.0,177.0,186.0
3,3,Europe,2014,0.0,13.0,399.0,412.0
4,4,Europe,2015,1.0,15.0,187.0,203.0
5,5,Europe,2016,1.0,11.0,145.0,157.0
6,6,Europe,2017,0.0,18.0,173.0,191.0
7,7,Europe,2018,0.0,10.0,103.0,113.0
8,8,Europe,2019,0.0,11.0,147.0,158.0
9,9,Europe,2020,0.0,30.0,157.0,187.0
10,10,Europe,2021,0.0,20.0,177.0,197.0
11,11,Europe,2022,6.0,24.0,265.0,295.0
